SubmissionDate,meta-instanceID,cassava_image_class,cassava_plant_age,cassava_variety,district,subcounty_luweero,subcounty_naka,subcounty_bugiri,subcounty_kamuli,subcounty_nebbi,subcounty_koboko,subcounty_pakwach,cassava_image_1,cassava_image_2,cassava_image_3,cassava_image_4,cassava_image_5,cassava_image_6,cassava_image_7,cassava_image_8,cassava_image_9,cassava_image_10,cassava_comment,cassava_image_gps-Latitude,cassava_image_gps-Longitude,cassava_image_gps-Altitude,cassava_image_gps-Accuracy,phone_ID,start_time,end_time,submission_time,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Subcounty,days
2021-04-08 09:02:43.637000+00:00,uuid:2c40b142-9d7a-4822-bc29-a5a218e03bc3,cbsd,6,magana,bugiri,,,nankoma,,,,,1617183892696.jpg,1617183913982.jpg,1617183950151.jpg,1617183966114.jpg,1617183996442.jpg,1617184021796.jpg,1617184039739.jpg,1617184065876.jpg,1617184111444.jpg,1617184129912.jpg,Bugiri Nankoma,0.4566393,33.7052927,1162.9358124912403,4.898,collect:8Yz1n1MPZ2L6upM3,2021-03-31 12:44:13.216000+03:00,2021-03-31 12:49:14.789000+03:00,2021-03-31,e1b720eb5e5bcaeb3740438700b76bd099c6eb1a,15,User_Okao,10,10,nankoma,2021-03-31
2021-04-08 09:02:28.148000+00:00,uuid:85e77857-5bd0-446e-bb0b-381c1724d163,cbsd,5,magana,bugiri,,,nankoma,,,,,1617171658319.jpg,1617171681872.jpg,1617171699858.jpg,1617171831099.jpg,1617171891902.jpg,1617171920720.jpg,1617171935433.jpg,1617171955479.jpg,1617172026508.jpg,1617172048346.jpg,Bugiri Nankoma,0.4804393,33.7091139,1159.3882220229852,3.801,collect:8Yz1n1MPZ2L6upM3,2021-03-31 09:20:02.486000+03:00,2021-03-31 09:27:55.643000+03:00,2021-03-31,4db816ec41d7ae23b7550356789a48ca338bac3a,15,User_Okao,10,10,nankoma,2021-03-31
2021-04-08 09:02:14.760000+00:00,uuid:aa0fed5f-994b-4171-90c1-dbb7284053e2,cbsd,5,magana,bugiri,,,nankoma,,,,,1617171466847.jpg,1617171479862.jpg,1617171499971.jpg,1617171509955.jpg,1617171519342.jpg,1617171530046.jpg,1617171536941.jpg,1617171546434.jpg,1617171562983.jpg,1617171577895.jpg,Bugiri Nankoma,0.4805156,33.7089476,1160.0057372428078,4.898,collect:8Yz1n1MPZ2L6upM3,2021-03-31 09:17:03.480000+03:00,2021-03-31 09:19:59.576000+03:00,2021-03-31,c0b700b1903067699e48cae50b69c72c9ac99f1a,15,User_Okao,10,10,nankoma,2021-03-31
2021-04-08 09:02:03.265000+00:00,uuid:b2a57613-eeb2-4137-b347-ba30cd60eef5,cbsd,5,magana,bugiri,,,nankoma,,,,,1617171057148.jpg,1617171072414.jpg,1617171088522.jpg,1617171102185.jpg,1617171113300.jpg,1617171133967.jpg,1617171149852.jpg,1617171194068.jpg,1617171207067.jpg,1617171228995.jpg,Bugiri Nankoma,0.4807839,33.7089237,1155.3563009767831,4.995,collect:8Yz1n1MPZ2L6upM3,2021-03-31 09:10:24.371000+03:00,2021-03-31 09:14:08.284000+03:00,2021-03-31,3024c76bbabf911659108fc63981803fb4ce753a,15,User_Okao,10,10,nankoma,2021-03-31
2021-04-08 09:01:57.532000+00:00,uuid:f2f4e362-0078-4746-ac84-007b8cb22ac4,cbsd,5,magana,bugiri,,,nankoma,,,,,1617170836202.jpg,1617170848868.jpg,1617170863865.jpg,1617170879741.jpg,1617170889876.jpg,1617170901680.jpg,1617170911409.jpg,1617170937202.jpg,1617170962574.jpg,1617170988880.jpg,Bugiri Nankoma,0.4808208,33.7088636,1154.1858743299904,4.63,collect:8Yz1n1MPZ2L6upM3,2021-03-31 09:06:36.577000+03:00,2021-03-31 09:10:11.936000+03:00,2021-03-31,6d3f5a8f9458cd4ddc2050c0ac48268a61586f62,15,User_Okao,10,10,nankoma,2021-03-31
2021-04-08 09:01:52.175000+00:00,uuid:cd45ab6e-851f-46e4-b5d9-2fd537f91942,cbsd,5,magana,bugiri,,,nankoma,,,,,1617170437431.jpg,1617170452435.jpg,1617170551940.jpg,1617170570224.jpg,1617170579816.jpg,1617170613505.jpg,1617170634238.jpg,1617170650880.jpg,1617170669839.jpg,1617170691558.jpg,Bugiri Nankoma,0.4807292,33.7089537,1160.631894354299,4.837,collect:8Yz1n1MPZ2L6upM3,2021-03-31 09:00:07.650000+03:00,2021-03-31 09:05:39.410000+03:00,2021-03-31,02ef14b1239b151318148b854ddc368feb2e8efc,15,User_Okao,10,10,nankoma,2021-03-31
2021-04-08 09:01:46.616000+00:00,uuid:1c35dac8-0307-4fb6-90bc-b0fbf29babc0,cbsd,12,tme 14,kamuli,,,,bulopa,,,,1617106341459.jpg,1617106388600.jpg,1617106416604.jpg,1617106452074.jpg,1617106594471.jpg,1617106620267.jpg,1617106640258.jpg,1617106657716.jpg,1617106717865.jpg,1617106831774.jpg,Kamuli bulopa,0.8515738,33.2532248,1072.8786216350616,4.727,collect:8Yz1n1MPZ2L6upM3,2021-03-30 15:11:25.296000+03:00,2021-03-30 15:21:03.649000+03:00,2021-03-30,054eb852bdd2c6f4315401fc19b7fd72f3804aa7,15,User_Okao,10,10,bulopa,2021-03-30
2021-04-08 09:01:41.621000+00:00,uuid:8bbe2684-dfe8-46ee-a6a9-f53135d40dcf,cbsd,12,tme 14,kamuli,,,,bulopa,,,,1617105879388.jpg,1617105893201.jpg,1617105922058.jpg,1617105945631.jpg,1617105973177.jpg,1617106004867.jpg,1617106076083.jpg,1617106166420.jpg,1617106185718.jpg,1617106216004.jpg,Kamuli bulopa,0.8516948,33.2533346,1065.4080337122273,4.581,collect:8Yz1n1MPZ2L6upM3,2021-03-30 15:03:27.871000+03:00,2021-03-30 15:10:42.979000+03:00,2021-03-30,ca5ee1561862212eef40424c0824f85bc2b0b776,15,User_Okao,10,10,bulopa,2021-03-30
2021-04-08 09:01:32.916000+00:00,uuid:75558d6e-5591-45a2-9224-2e3c53a525fa,cbsd,12,tme 14,kamuli,,,,bulopa,,,,1617105429732.jpg,1617105442853.jpg,1617105475805.jpg,1617105560531.jpg,1617105627142.jpg,1617105646447.jpg,1617105678858.jpg,1617105691078.jpg,1617105741067.jpg,1617105750338.jpg,Kamuli bulopa,0.8517602,33.2533406,1066.5984490427115,4.451,collect:8Yz1n1MPZ2L6upM3,2021-03-30 14:56:16.200000+03:00,2021-03-30 15:02:55.399000+03:00,2021-03-30,146e8bb67234d4fa1557b0e7cae89987b878a8d1,15,User_Okao,10,10,bulopa,2021-03-30
2021-04-08 09:01:21.526000+00:00,uuid:e4340cb1-860a-48a8-a7d5-066eb4e17878,cbsd,7,tme 204,kamuli,,,,kitayumdwa,,,,1617092214488.jpg,1617092235140.jpg,1617092252433.jpg,1617092289971.jpg,1617092392856.jpg,1617092429070.jpg,1617092455786.jpg,1617092489110.jpg,1617092555840.jpg,1617092618337.jpg,Kamuli kitayunjwa,0.9259204,33.1917975,1086.878241494229,4.7,collect:8Yz1n1MPZ2L6upM3,2021-03-30 11:16:23.639000+03:00,2021-03-30 11:24:18.858000+03:00,2021-03-30,59eda98e8d240b966df2af11d534cf9d292065b4,15,User_Okao,10,10,kitayumdwa,2021-03-30
